bill_type_bill_name_bill_ID	missing_votes	 Arlen Specter (PA)	 Barack H. Obama (IL)	 Barbara A. Mikulski (MD)	 Barbara Boxer (CA)	 Bill Nelson (FL)	 Blanche L. Lincoln (AR)	 Byron L. Dorgan (ND)	 C. Saxby Chambliss (GA)	 Carl Levin (MI)	 Charles E. 'Chuck' Grassley (IA)	 Charles E. 'Chuck' Schumer (NY)	 Charles T. 'Chuck' Hagel (NE)	 Christopher J. Dodd (CT)	 Christopher S. 'Kit' Bond (MO)	 Conrad R. Burns (MT)	 Craig Thomas (WY)	 Daniel K. Inouye (HI)	 Daniel Kahikina Akaka (HI)	 David B. Vitter (LA)	 Debbie Ann Stabenow (MI)	 Dianne Feinstein (CA)	 E. Benjamin 'Ben' Nelson (NE)	 Edward M. 'Ted' Kennedy (MA)	 Elizabeth H. Dole (NC)	 Evan Bayh (IN)	 Frank R. Lautenberg (NJ)	 George Felix Allen (VA)	 George V. Voinovich (OH)	 Gordon Harold Smith (OR)	 Harry M. Reid (NV)	 Herbert H. 'Herb' Kohl (WI)	 Hillary Rodham Clinton (NY)	 James M. 'Jim' Inhofe (OK)	 James M. 'Jim' Talent (MO)	 James Merrill 'Jim' Jeffords (VT)	 Jeff Bingaman (NM)	 Jefferson B. 'Jeff' Sessions III (AL)	 Jim Bunning (KY)	 Jim W. DeMint (SC)	 John Cornyn (TX)	 John D. 'Jay' Rockefeller IV (WV)	 John E. Sununu (NH)	 John Eric Ensign (NV)	 John F. 'Jack' Reed (RI)	 John Forbes Kerry (MA)	 John H. 'Johnny' Isakson (GA)	 John R. Thune (SD)	 John S. McCain (AZ)	 John W. Warner (VA)	 Jon Kyl (AZ)	 Joseph I. Lieberman (CT)	 Joseph R. Biden Jr. (DE)	 Judd A. Gregg (NH)	 Kay Bailey Hutchison (TX)	 Ken Salazar (CO)	 Kent Conrad (ND)	 Lamar Alexander (TN)	 Larry E. Craig (ID)	 Lincoln D. Chafee (RI)	 Lindsey O. Graham (SC)	 Lisa A. Murkowski (AK)	 Maria Cantwell (WA)	 Mark Dayton (MN)	 Mark Pryor (AR)	 Mary L. Landrieu (LA)	 Max S. Baucus (MT)	 Mel Martinez (FL)	 Michael B. Enzi (WY)	 Michael D. 'Mike' Crapo (ID)	 Michael 'Mike' DeWine (OH)	 Mitch McConnell (KY)	 Norm Coleman (MN)	 Olympia J. Snowe (ME)	 Orrin G. Hatch (UT)	 Pat Roberts (KS)	 Patrick J. Leahy (VT)	 Patty Murray (WA)	 Paul S. Sarbanes (MD)	 Pete V. Domenici (NM)	 Richard C. Shelby (AL)	 Richard G. Lugar (IN)	 Richard J. 'Dick' Durbin (IL)	 Richard J. 'Rick' Santorum (PA)	 Richard M. Burr (NC)	 Robert C. Byrd (WV)	 Robert F. Bennett (UT)	 Robert Menendez (NJ)	 Ron Wyden (OR)	 Russell D. Feingold (WI)	 Samuel D. 'Sam' Brownback (KS)	 Susan M. Collins (ME)	 Ted Stevens (AK)	 Thad Cochran (MS)	 Thomas Allen 'Tom' Coburn (OK)	 Thomas Richard Carper (DE)	 Thomas 'Tom' Harkin (IA)	 Tim P. Johnson (SD)	 Trent Lott (MS)	 Wayne A. Allard (CO)	 William H. 'Bill' Frist (TN)
Family and Children Issues_Federal Marriage Amendment_3440	11	1	0	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	0	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	0	1	-1	-1	1	-1	0	0	0	-1	1	1	-1	-1	1	1	0	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	0	1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	0	1	1	0	-1	-1	1	-1	1	1	0	-1	-1	-1	1	1	1
Gun Issues_Firearms Manufacturers Protection bill_3371	11	-1	0	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	0	1	-1	-1	1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1
Legal Issues_Unborn Victims of Violence Act 2004_3376	11	1	0	-1	-1	-1	-1	1	1	-1	1	-1	1	-1	1	1	1	-1	-1	0	-1	-1	1	-1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	1	1	1	0	1	1	1	1	-1	-1	0	0	1	1	1	-1	-1	0	1	0	1	1	1	-1	1	1	-1	1	1	1	-1	0	1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	0	-1	1	0	-1	-1	1	1	1	1	0	1	-1	-1	1	1	1
National Security Issues_National Intelligence Reform Act of 2004_3436	11	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	-1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Abortion Issues_Prohibit Partial-Birth Abortion bill_3241	12	1	0	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	1	1	-1	-1	0	-1	-1	1	-1	1	1	-1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	0	1	-1	1	1	-1	0	0	0	1	1	1	-1	0	1	1	0	1	1	1	-1	1	1	-1	-1	1	1	-1	0	1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	-1	1	0	1	1	0	-1	-1	1	-1	1	1	0	1	-1	1	1	1	1
"Appropriations_Consolidated Appropriations Resolution, 2003_3233"	12	1	0	1	-1	1	1	1	1	-1	1	-1	1	-1	1	1	1	0	-1	0	-1	-1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	0	1	-1	1	1	-1	-1	0	0	1	1	1	-1	-1	1	1	0	1	1	1	1	1	1	1	-1	1	1	1	0	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	-1	1	0	1	1	0	1	-1	1	1	1	1	0	1	0	-1	1	1	1
Appropriations_Defense Department FY2005 Appropriations bill_3424	12	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Appropriations_Defense Department FY2005 Appropriations bill_3425	12	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1
"Budget, Spending and Taxes_Jumpstart Our Business Strength (JOBS) Act_3398"	12	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	-1	1	1	0	0	0	0	1	-1	1	1	-1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Business and Consumers_Pension Funding Equity Act of 2004_3386	12	1	0	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	0	0	1	1	1	-1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	-1	1	0	1	1	1	-1	-1	0	0	0	-1	1	-1	1	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	0	-1	1	0	1	-1	1	1	1	1	0	1	1	1	1	1	1
Education_Individuals with Disabilities Education Improvement Act_3397	12	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Education_Individuals with Disabilities Education Improvement Act_3439	12	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Energy Issues_Energy Omnibus bill_3302	12	1	0	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	0	1	-1	1	-1	1	1	-1	1	1	1	1	1	-1	1	1	1	1	1	1	0	1	1	-1	1	-1	0	0	0	-1	1	-1	0	1	1	1	0	1	1	1	1	1	1	-1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	0	1	1	0	-1	-1	1	1	1	1	0	1	1	1	1	1	1
Family and Children Issues_Enhance AMBER Alert bill_3308	12	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Legal Issues_Victims' Rights bill_3387	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Technology and Communication_Reduction of SPAM bill_3333	12	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Trade Issues_U.S.-Singapore Free Trade Agreement Implementation Act_3304	12	-1	0	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	1	-1	-1	0	1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	1	1	1	-1	1	1	1	0	1	1	1	1	-1	0	0	0	1	1	1	0	-1	1	1	0	1	1	-1	1	-1	1	1	-1	1	1	1	0	1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	0	-1	1	0	-1	-1	1	1	1	1	0	1	-1	-1	1	1	1
Transportation Issues_Highway Trust Fund bill_3365	12	-1	0	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	0	1	1	-1	-1	1	0	0	0	-1	1	-1	1	1	-1	-1	0	1	-1	-1	1	-1	1	1	1	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	0	1	1	0	1	-1	-1	1	1	1	0	1	1	1	1	1	1
"Appropriations_Budget Appropriations, FY2005 resolution_3372"	13	1	0	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	0	-1	-1	-1	-1	1	-1	-1	1	1	1	0	-1	-1	1	1	-1	-1	1	1	0	1	-1	1	1	-1	0	0	0	1	1	1	-1	-1	1	1	0	-1	1	1	1	1	1	-1	-1	-1	-1	-1	0	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	0	-1	1	0	-1	-1	1	1	1	1	0	-1	-1	0	-1	1	1
"Appropriations_Consolidated Appropriations Act, 2004_3349"	13	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	-1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Appropriations_Fiscal 03 Omnibus Appropriations-Adoption_3234	13	1	0	1	-1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	0	1	1	1	-1	1	1	-1	1	1	1	-1	1	1	1	1	-1	-1	1	1	0	1	-1	1	1	1	0	0	0	1	1	1	-1	1	1	1	0	-1	1	1	1	1	1	1	-1	-1	1	1	0	1	1	1	0	1	1	1	1	0	1	-1	1	1	1	-1	1	0	1	1	0	1	-1	1	1	1	1	0	1	1	1	1	1	1
Appropriations_Legislative Branch FY2005 Appropriations Bill_3429	13	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	-1	1	0	0	0	1	1	1	1	1	1	1	0	-1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Appropriations_Terrorism Information Awareness bill_3292	13	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Appropriations_Terrorism Information Awareness bill_3317	13	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
"Budget, Spending and Taxes_Internet Access Tax bill_3389"	13	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Defense_Military Construction FY2005 Authorization bill_3410	13	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1
"Executive Branch_Michael Leavitt, Adiminstrator of the EPA_3343"	13	1	0	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	-1	1	1	-1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	-1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Health Issues_Medicare Prescription Drug Benefit bill_3276	13	1	0	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	-1	-1	0	1	1	1	1	1	0	-1	-1	-1	-1	-1	0	0	0	-1	1	1	0	1	-1	1	0	1	1	1	1	-1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	0	-1	1	0	1	1	1	1	1	1	0	1	-1	1	-1	-1	1
Technology and Communication_Do-Not-Call Registry bill_3316	13	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Technology and Communication_FCC Media Ownership bill_3313	13	-1	0	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	0	1	1	1	1	1	1	1	-1	1	0	1	1	1	-1	-1	1	1	-1	-1	0	-1	1	-1	-1	1	0	0	0	-1	-1	-1	1	1	-1	1	0	1	1	-1	1	-1	-1	1	1	1	1	1	0	1	-1	-1	-1	-1	1	-1	1	0	1	1	-1	1	-1	1	-1	0	1	-1	0	1	1	-1	1	-1	-1	0	1	1	1	1	1	-1
Trade Issues_U.S.-Chile Free Trade Agreement Implementation Act_3303	13	1	0	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	1	-1	-1	0	1	-1	1	-1	1	1	-1	1	1	1	-1	-1	1	1	1	-1	1	1	1	0	1	-1	1	1	-1	0	0	0	1	1	1	0	-1	1	1	0	1	1	-1	1	-1	-1	1	-1	1	1	1	0	1	-1	1	1	1	1	1	1	1	1	-1	0	-1	1	1	1	0	-1	1	0	-1	-1	1	1	-1	1	0	1	-1	-1	1	1	1
"Appropriations_Department of Labor, HHS, and Education Appropriations,_3314"	14	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
"Appropriations_Emergency Supplemental Appropriation, FY 2003 bill_3285"	14	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	0	1	1	1	-1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	-1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	-1	1
"Appropriations_Energy and Water Appropriations, FY 2004 bill_3312"	14	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1
"Appropriations_Homeland Security Appropriations, FY 2004 bill_3299"	14	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1
"Budget, Spending and Taxes_Increased Child Tax Credit bill_3420"	14	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	0	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Environmental Issues_Healthy Forests Restoration Act of 2003_3338	14	1	0	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	0	1	1	0	-1	1	-1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	0	1	-1	1	1	-1	0	0	0	1	1	1	0	-1	1	1	0	1	1	1	1	1	1	-1	1	1	1	1	0	1	1	1	1	1	1	1	1	-1	1	1	1	0	1	-1	1	0	1	1	0	1	1	1	1	1	1	0	-1	-1	1	1	1	1
Transportation Issues_Aviation Administration FY2004-2006 Authorization bill_3272	14	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Congressional Affairs_Congressional Pay Raise Amendment_3334	15	-1	0	1	0	-1	-1	1	-1	1	-1	-1	1	1	1	1	-1	1	1	0	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	1	-1	-1	0	1	-1	1	0	1	0	0	0	-1	1	1	1	1	1	-1	0	1	1	1	1	-1	0	1	-1	1	1	-1	0	-1	1	-1	1	1	-1	1	1	-1	-1	1	0	1	1	1	1	0	1	1	0	-1	-1	-1	-1	1	1	0	1	1	-1	1	-1	1
"Executive Branch_Thomas Ridge, Secretary of Homeland Security_3218"	15	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1
Appropriations_Omnibus FY2004 Appropriations Bill_3362	16	1	0	1	-1	1	1	-1	0	-1	1	1	0	1	1	1	1	1	1	0	-1	1	1	-1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	1	1	1	0	1	-1	1	-1	-1	0	0	0	-1	1	1	0	-1	1	1	0	-1	1	1	1	1	1	1	-1	1	1	0	0	1	1	1	1	1	-1	1	1	-1	1	-1	0	1	1	1	1	0	-1	1	0	-1	-1	1	1	1	1	0	1	1	-1	1	-1	1
Military Issues_Condemning Iraq Abuse of Prisoners resolution_3399	16	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Appropriations_Appropriations for Operations in Iraq_3251	17	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
"Budget, Spending and Taxes_JOBS (Jumpstart Our Business Strength)_3433"	19	0	0	1	-1	1	1	0	0	-1	1	1	1	-1	1	1	1	1	-1	0	1	-1	1	-1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	-1	0	1	-1	0	0	0	0	1	1	1	-1	-1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	-1	1	1	1	1	1	0	1	-1	1	1	1	-1	1	0	-1	1	0	1	1	1	-1	1	1	0	-1	1	1	1	1	1
Agriculture Issues_Farm Security and Rural Investment Act of 2002_3177	21	-1	0	1	1	-1	1	1	0	1	-1	1	-1	1	1	1	-1	1	1	0	1	1	1	1	0	1	0	-1	-1	1	1	1	1	1	0	1	-1	1	-1	0	0	1	0	-1	-1	1	0	0	-1	-1	-1	1	1	-1	1	0	1	0	1	-1	0	0	1	1	0	1	1	0	-1	1	-1	-1	0	1	-1	-1	1	1	1	-1	1	-1	1	-1	0	1	-1	0	1	-1	-1	-1	1	1	0	-1	1	1	1	1	1
Appropriations_Agriculture FY2002 Appropriations bill_3132	21	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	-1	0	1	-1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	-1	1	1	0	0	-1	1	-1	1	1	-1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
"Appropriations_Appropriations bill FY2002, Commerce, Justice, State_3133"	21	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	-1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Appropriations_District of Columbia FY2002 Appropriations bill_3125	21	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	-1	0	1	1	-1	-1	0	0	1	0	-1	1	1	0	0	1	1	-1	1	1	-1	-1	0	1	0	1	1	0	0	1	1	0	1	1	0	-1	1	1	1	0	1	1	1	1	1	1	1	-1	1	-1	-1	0	1	1	0	1	-1	-1	1	1	1	0	1	1	1	-1	-1	1
"Appropriations_Labor, HHS and Education Appropriations Act, 2002_3124"	21	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	-1	1	1	1	1	1	0	1	1	-1	-1	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	-1	1	1	1	1	0	1	1	1	1	-1	1
"Appropriations_Legislative Branch Appropriation, FY2003 bill_3225"	21	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	-1	1	1	0	1	1	1	1	0	-1	0	1	-1	1	1	1	1	-1	0	1	1	1	-1	0	0	1	0	-1	1	1	0	0	1	1	1	1	1	1	1	0	-1	0	1	1	0	0	1	1	0	1	1	0	-1	1	1	1	0	1	1	-1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	-1	1	1	1	0	1	1	1	1	-1	1
